Название;Описание;Цена;Количество игроков;Время игры;Возрастное ограничение;Ссылка
Нечто (2014);Сможете ли вы вовремя распознать зло?;;_4-12;_15-60;18+;https://hobbygames.ru/nechto-2014
Чудо в перьях;Птицы совсем обленились!;;_2-4;_10+;4+;https://hobbygames.ru/chudo-v-perjah
Тичу;Китайская командная игра;;_3-6;_30-90;10+;https://hobbygames.ru/tichu
Диксит 2: Открытие (2015);Ещё больше простора для фантазии!;;_3-6;_30+;8+;https://hobbygames.ru/diksit-2-2015
Голливуд: Сезон фестивалей;Шедевр или провал? Всё в ваших руках!;;_2-6;_30+;10+;https://hobbygames.ru/hollywood-sezon-festivalej
Small World: Leaders;;;_2-5;_40-80;8+;https://hobbygames.ru/small-world-leaders
Ticket to Ride: Anniversary Edition;;;_2-5;_45-60;8+;https://hobbygames.ru/ticket-to-ride-anniversary-edition
Венеция 2099;Спасите шедевры от наводнения!;;_2-5;_45-60;8+;https://hobbygames.ru/venecija-2099
Берсерк. Настольная игра;Всё начинается здесь!;;_1-4;_40-60;8+;https://hobbygames.ru/berserk-nastolnaja-igra
Диксит 5: Грезы;Милые, теплые сновидения и добрые сказки;;_3-6;_30+;8+;https://hobbygames.ru/diksit-5-old
Семеро смелых;Жестокая сущность Мэдока возвращается в мир;;_3-5;_30+;10+;https://hobbygames.ru/semero-smelih
Scrabble Junior;Весёлая игра научит малышей читать;;_2-4;_10+;6+;https://hobbygames.ru/scrabble-junior
Вудумания;А на Гаити всё непросто;;_2-6;_10+;7+;https://hobbygames.ru/vudumanija
Эпидемия;Спаситесь от чумы;;_2-4;_45+;10+;https://hobbygames.ru/jepidemija
Нет слов: Учим английский;Проверьте себя!;;_2-5;_15+;10+;https://hobbygames.ru/net-slov-uchim-anglijskij
Андор;Замку короля Бранда угрожает опасность;;_2-4;_60-90;10+;https://hobbygames.ru/andor
Elfenland. Волшебное Путешествие;Помогите эльфам посетить как можно больше городов;;_2-6;_60+;10+;https://hobbygames.ru/elfenland-volshebnoe-puteshestvie
Домовята;Поиграй с ними в прятки!;;_3-9;_10+;4+;https://hobbygames.ru/domovjata
Гонки Жуков;Не запутайтесь в лапках и финишируйте первым!;;_2-4;_10-20;5+;https://hobbygames.ru/gonki-zhukov
Смотри в оба (2014);Дорожные истории;;_2-6;_15+;6+;https://hobbygames.ru/smotri-v-oba-2014
Activity: Кодовое слово;Рисуйте, объясняйте или отгадывайте слова;;_4-16;_20-40;12+;https://hobbygames.ru/activity-kodovoe-slovo
Quixo Pocket;;;_2-4;_10-20;6+;https://hobbygames.ru/quixo-pocket
Бонанза: Бонапарт;Станьте бобовым Наполеоном;;_3-6;_60-90;10+;https://hobbygames.ru/bonanza-bonapart
Бонанза: на Диком Западе;Бобовый Дикий запад;;_3-7;_45-60;10+;https://hobbygames.ru/bonanza-na-dikom-zapade
Хрю!;Хоровод зверят, определите кто есть кто!;;_2-6;_15+;4+;https://hobbygames.ru/hrju
Шалтай Болтай;Шишка, сушка, матрёшка, ложка!;;_2-7;_30+;5+;https://hobbygames.ru/shaltaj-boltaj
Веселые Попугаи;На вкус и цвет все попугайчики разные;;_2-4;_30+;4+;https://hobbygames.ru/veselie-popugai
Дай Пять;;;_2-6;_20+;6+;https://hobbygames.ru/day-pyat
Веселые Кенгуру;;;_3-6;_20+;6+;https://hobbygames.ru/veselie-kenguru
Alias: Моя Первая Игра;;;_3-8;_20+;3+;https://hobbygames.ru/moja-pervaja-igra-alias
Повелитель Банановой Горы;;;_2-4;_20+;8+;https://hobbygames.ru/povelitel-bananovoj-gori
Совершенно Гениально;Необычная логическая игра для компании;;_2-4;_20+;8+;https://hobbygames.ru/sovershenno-genialno
Fluxx;Классическая версия знаменитой игры;;_2-6;_5-30;8+;https://hobbygames.ru/fluxx-old
Манчкин Делюкс;Крутые фигурки и счетчик-подземелье!;;_3-6;_30+;12+;https://hobbygames.ru/munchkin-deluxe
Наместник;История помнит лишь королей!;;_1-4;_45+;12+;https://hobbygames.ru/namestnik
Descent: Странствия во Тьме;Станьте Героем фэнтези!;;_2-5;_120-180;14+;https://hobbygames.ru/descent-stranstvija-vo-tme
Planet Steam;Укротите силу пара!;;_2-6;_20-30;8+;https://hobbygames.ru/planet-steam
Номы;Приключения Номов в стране волшебства;;_2-6;_20-30;8+;https://hobbygames.ru/nomi
Relic Runners;Индиана Джонс спешит на помощь;;_2-5;_60+;10+;https://hobbygames.ru/relic-runners
Поселенцы. Основатели империи.;Империи рождаются в войне и торговле;;_2-4;_30-45;12+;https://hobbygames.ru/poselenci-osnovateli-imperii
Миллионер Делюкс;;;_2-6;_90+;9+;https://hobbygames.ru/millioner-deljuks-tk
Миллионер Classic;Успех зависит только от вас;;_2-6;_90+;9+;https://hobbygames.ru/millioner-klassik-tk
Star Wars LCG: На грани Тьмы;Звезда Смерти;;_2;_30-60;10+;https://hobbygames.ru/star-wars-lcg-na-grani-tmi
Джумба!;Проявите харизму, показывая животных и имитируя звуки;;_2-8;_15+;6+;https://hobbygames.ru/dzhumba
Runewars (Revised Edition);;;_2-4;_180-240;14+;https://hobbygames.ru/runewars-revised-edition
Merchant of Venus;;;_2-4;_30+;8+;https://hobbygames.ru/merchant-of-venus
Колонизаторы. Быстрая карточная игра;Динамичная партия в компактной коробке!;;_2-4;_30+;8+;https://hobbygames.ru/kolonizatori-bistraja-kartochnaja-igra
Карткассон;"Любимый ""Каркассон"" с абсолютно новой механикой";;_2-5;_30-45;8+;https://hobbygames.ru/kartkasson
"Книга-игра ""Холодное Сердце Далрока""";Война волшебных народцев Двэлла;;_1+;_60+;8+;https://hobbygames.ru/holodnoe-serdce-drakona
Ghost Stories (2012);Изгнать призраков!;;_1-4;_60+;10+;https://hobbygames.ru/ghost-stories_2012
Матрёшкино (2012);Повтори за матрёшкой!;;_2-6;_15+;4+;https://hobbygames.ru/matreshkino
Куролисы (2012);Защитим цыплят от лис!;;_4-16;_30+;9+;https://hobbygames.ru/kurolisi
City of Thieves: King of Ashes;;;_1+;_60+;4+;https://hobbygames.ru/city-of-thieves-king-of-ashes
Картина с номерами;;;_1+;_60+;4+;https://hobbygames.ru/kartina-s-nomerami
Axis&Allies Pacific 1940 (Second edition);Австралия и Новая Зеландия вступают в бой!;;_2-8;_120-180;12+;https://hobbygames.ru/axisandallies-pacific-1940-second-edition
Спасайся, кто может!;Разгадайте, кто из инопланетян – злодей;;_2-6;_10-20;10+;https://hobbygames.ru/spasajsja-kto-mozhet
Homo Sapiens;Следите за животными и мяукайте, гавкайте и крякайте!;;_3-8;_10-20;4+;https://hobbygames.ru/homo-sapiens
Конфетти;;;_1-7;_10-20;9+;https://hobbygames.ru/konfetti
Миллионер - элит ТК;Ничего личного, просто бизнес...;;_2-6;_20-40;7+;https://hobbygames.ru/millioner-jelit-tk
The Adventurers the Pyramid of Horus;;;_3-5;_20-40;12+;https://hobbygames.ru/the-adventurers-the-pyramid-of-horus
REX;Игра переговоров, предательств и войн;;_3-5;_20-40;12+;https://hobbygames.ru/rex
Синоби Война Кланов;Амбициозные даймё в борьбе за Японию;;_3-5;_20-40;12+;https://hobbygames.ru/sinobi-vojna-klanov
"Дорожная игра ""Собери 4""";;;_2;_10+;6+;https://hobbygames.ru/dorozhnaja-igra-soberi-4
Risk 2210 AD;Войны будущего по старым правилам;;_2-5;_240+;12+;https://hobbygames.ru/risk-2210-ad
Lords of Waterdeep;"Политическая борьба за ""Город Блеска""";;_2-5;_60-120;12+;https://hobbygames.ru/lords-of-waterdeep
Манчкин 7: Двуручный Чит (2012);Ультра-супер Манчкин!;;_3-6;_30-60;10+;https://hobbygames.ru/manchkin-7-dvuruchnij-chit
"Книга-игра ""Лабиринт затаившейся смерти""";Силы Зла снова покушаются на мировое господство;;_1;_60;8+;https://hobbygames.ru/kniga-igra-labirint-zataivshejsja-smerti
Wrath of Ashardalon;Не будите спящего дракона!;;_1-5;_60;12+;https://hobbygames.ru/wrath-of-ashardalon
Ундервуд;Собирайте слова из букв;;_2-10;_30-50;12+;https://hobbygames.ru/nastolnaja-igra-undervud
Зомби! Спасайся кто может!;Выживет из вас только один;;_3-7;_15-30;10+;https://hobbygames.ru/zombi-spasajsja-kto-mozhet
Activity Turbo: Для детей;Включаем турборежим;;_4-16;_30+;8+;https://hobbygames.ru/activity-turbo-dlja-detej
Battleship Galaxies;"Межгалактический космический ""морской бой""";;_2-4;_70+;13+;https://hobbygames.ru/battleship-galaxies
The Legend of Drizzt;Приключения Дзирта и его напарников;;_1-5;_60+;12+;https://hobbygames.ru/the-legend-of-drizzt
Battles of Westeros: Tribes of the Vale Expansion set;;;_4+;_45+;13+;https://hobbygames.ru/battles-of-westeros-tribes-of-the-vale-expansion-set
Battles of Westeros: Lord of the River Expansion set;;;_4+;_45+;13+;https://hobbygames.ru/battles-of-westeros-lord-of-the-river-expansion-set
Alias: Гениальная версия;;;_4+;_45+;12+;https://hobbygames.ru/alias-genialnaja-versija
Улей (HIVE);Нешуточная война в царстве насекомых;;_2;_10-30;8+;https://hobbygames.ru/nastolnaja-igra-ulej-hive
Крокодил (2011);Успейте объяснить все жестами;;_4-16;_45-90;10+;https://hobbygames.ru/krokodil-2011
За бортом. Дополнение;На что вы пойдёте ради выживания?;;_4-8;_40-70;12+;https://hobbygames.ru/za-bortom-dopolnenija-2011
"Книга-игра ""По закону прерии""";Вы станете героем дикого запада;;_1;;8+;https://hobbygames.ru/kniga-igra-po-zakonu-prerii
"Книга-игра ""Верная Шпага Короля""";Честь и отвага изменят весь ход истории!;;_1;;8+;https://hobbygames.ru/kniga-igra-vernaja-shpaga-korolja
"Книга-игра ""Повелитель Безбрежной Пустыни""";Отправьтесь в опасный мир за гранью возможного;;_1;;8+;https://hobbygames.ru/kniga-igra-povelitel-bezbrezhnoj-pustini
Пиратский Манчкин;Аррр, манчкины, на абордаж!;;_3-6;_30+;10+;https://hobbygames.ru/piratskij-manchkin
Small World: Underground;На поверхности тесно! Отправимся под землю.;;_3-5;_20-40;8+;https://hobbygames.ru/small-world-underground
